"451 градус по Фаренгейту. Рей Дуглас Бредбери. // С: Баллантай книги, 1953. C. 400"
"Властелин колец. Джордж Рейн Толкин. // M: George Allen, 1954. С. 300"
"Гордость и предубеждение. Джейн Остин Джеймс. // Н: Thomas Egerton, 1813. С. 255"
"Как завоевать друзей и оказывать влияние на людей. Дейл Карнеги Берген. // М: Дейл Канеги, 1936. С.180"
"Левша. Николай Семенович Лесков. // П: Николай Семенович Лесков, 1881. С. 279"
"Джейн Эйр.Шарлотта Бронте Каррер. // В: Смит Элдер и Ко, 1846. С. 536"
"Шерли. Шарлотта Бронте Каррер. // Н: Смит Элдер и Ко, 1849. С. 498"
"Зелёный карлик. Шарлотта Бронте Каррер. // Н: Шарлотта Бронте Каррер, 1833. С. 678"
"Мёртвые души. Николай Васильевич Гоголь. // М: Николай Васильевич Гоголь, 1835. С. 795"
"Шинель. Николай Васильевич Гоголь. // П: Penguin Books, 1841. С. 251"
